,airline,flight,source_city,departure_time,Time,stops,arrival_time,Time,destination_city,class,duration,days_left,price
1,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,1,5953
8,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,1,5954
12,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,1,5955
16,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,1,5955
17,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,1,5955
118,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,2,5953
126,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,2,5954
132,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,2,5955
138,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,2,5955
143,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,2,5955
144,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,2,5955
251,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,3,5953
252,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,3,5953
257,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,3,5954
261,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,3,5955
266,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,3,5955
267,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,3,5955
399,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,4,5953
400,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,4,5953
401,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,4,5953
419,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,4,5955
423,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,4,5955
430,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,4,5955
431,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,4,5955
451,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,4,6165
455,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,4,6532
565,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,5,5953
566,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,5,5953
567,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,5,5953
568,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,5,5953
579,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,5,5955
586,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,5,5954
592,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,5,5955
593,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,5,5955
603,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,5,5955
604,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,5,5955
740,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,6,5953
741,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,6,5953
742,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,6,5953
743,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,6,5953
754,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,6,5955
762,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,6,5954
768,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,6,5955
769,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,6,5955
777,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,6,5955
778,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,6,5955
920,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,7,5953
921,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,7,5953
922,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,7,5953
923,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,7,5953
934,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,7,5955
946,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,7,5955
947,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,7,5955
953,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,7,5955
954,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,7,5955
979,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,7,6532
1106,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,8,5953
1107,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,8,5953
1108,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,8,5953
1109,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,8,5953
1118,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,8,5955
1128,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,8,5955
1129,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,8,5955
1135,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,8,5955
1136,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,8,5955
1160,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,8,6532
1286,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,9,5955
1287,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,9,5955
1288,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,9,5955
1289,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,9,5955
1300,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,9,5955
1307,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,9,5954
1310,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,9,5955
1311,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,9,5955
1317,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,9,5955
1318,Air_India,AI-665,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,9,5955
1462,SpiceJet,SG-1089,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,10,5953
1463,SpiceJet,SG-8803,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,10,5953
1464,SpiceJet,SG-1061,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,10,5953
1465,SpiceJet,SG-8157,Delhi,Early_Morning,4,zero,Morning,6.33,Mumbai,Economy,2.33,10,5953
1468,Vistara,UK-943,Delhi,Early_Morning,4,zero,Morning,6.25,Mumbai,Economy,2.25,10,5955
1473,GO_FIRST,G8-334,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,10,5954
1475,Indigo,6E-2054,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,10,5955
1476,Indigo,6E-5001,Delhi,Early_Morning,4,zero,Morning,6.17,Mumbai,Economy,2.17,10,5955
1479,Air_India,AI-887,Delhi,Early_Morning,4,zero,Morning,6.08,Mumbai,Economy,2.08,10,5955
